YearStart,YearEnd,StateAbbr,State,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategoryID1
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,31.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,56.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,48.7,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,45.6,Sex,Female,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,39.3,Sex,Female,,,SEX
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,73.5,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,50,Overall,Overall,,,OVERALL
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,46.7,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,46.9,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,39.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,21.1,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,34.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,20.8,Age,Age 18-44,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,45.7,Sex,Female,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,43.8,Overall,Overall,,,OVERALL
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,44.3,Sex,Male,,,SEX
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,53.7,Age,Age 45-64,,,AGE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,42.5,Sex,Female,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,55.7,Age,Age >=65,,,AGE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,20.2,Age,Age 18-44,,,AGE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,30.9,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,60.3,Age,Age >=65,,,AGE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,46.4,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,41.2,Age,Age 45-64,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.9,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,47.7,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,35.8,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,30.5,Sex,Female,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,53.9,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,37.6,Sex,Male,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,49.3,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.8,Overall,Overall,,,OVERALL
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,41.9,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,17.3,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,24.8,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,42.4,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,42.7,Sex,Male,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,52.6,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,71.4,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,23.5,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,65.1,Age,Age >=65,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,47.5,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,14.1,Age,Age 18-44,,,AGE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,36.1,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,56.1,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,19,Age,Age 18-44,,,AGE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,42.3,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,53.9,Sex,Male,,,SEX
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,60.1,Overall,Overall,,,OVERALL
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,48,Overall,Overall,,,OVERALL
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,45.2,Sex,Male,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,75,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,61.8,Sex,Male,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,38.7,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,20.4,Race/Ethnicity,Hispanic,,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,27.8,Overall,Overall,,,OVERALL
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,46.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,56.3,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,50.6,Sex,Male,,,SEX
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,36,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,58.1,Overall,Overall,,,OVERALL
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.6,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,41,Overall,Overall,,,OVERALL
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,34.3,Age,Age 45-64,,,AGE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,58,Sex,Female,,,SEX
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,57.4,Age,Age >=65,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,60.7,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,42.5,Overall,Overall,,,OVERALL
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,42.5,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,55.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic,,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,29.3,Sex,Male,,,SEX
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,47.2,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,27.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,18.3,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,40.6,Age,Age 45-64,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,54.5,Sex,Female,,,SEX
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,34.5,Sex,Male,,,SEX
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,30.1,Race/Ethnicity,Hispanic,,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.5,Overall,Overall,,,OVERALL
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,41.1,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,49.7,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,AZ,Arizona,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,CA,California,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,42.2,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,62.4,Sex,Male,,,SEX
2020,2020,AL,Alabama,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,68.8,Age,Age >=65,,,AGE
2020,2020,AK,Alaska,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,27.6,Sex,Female,,,SEX
2020,2020,AR,Arkansas,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,30.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,23.4,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,41.3,Sex,Female,,,SEX
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,27.2,Overall,Overall,,,OVERALL
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,18.2,Race/Ethnicity,Hispanic,,,RACE
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,30.8,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,27,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.4,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,36.4,Overall,Overall,,,OVERALL
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,35.9,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,38.8,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,58,Sex,Male,,,SEX
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,50.9,Sex,Male,,,SEX
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,33.9,Sex,Female,,,SEX
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,37.3,Age,Age 45-64,,,AGE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,36.9,Race/Ethnicity,"Black, non-Hispanic",,,RACE
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,50.4,Sex,Female,,,SEX
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,28.1,Sex,Male,,,SEX
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,51,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,45.8,Overall,Overall,,,OVERALL
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,52.4,Sex,Female,,,SEX
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,37.9,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,29.4,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,33.3,Sex,Male,,,SEX
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,61.7,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,54.1,Overall,Overall,,,OVERALL
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,28,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,44.6,Age,Age 45-64,,,AGE
2020,2020,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,16.6,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,54.4,Overall,Overall,,,OVERALL
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,23,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,53,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,31.4,Age,Age 45-64,,,AGE
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,51.6,Sex,Male,,,SEX
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,64,Age,Age >=65,,,AGE
2020,2020,GU,Guam,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,32.9,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,47.5,Overall,Overall,,,OVERALL
2020,2020,FL,Florida,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,17,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,23.5,Sex,Female,,,SEX
2020,2020,HI,Hawaii,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,52.9,Race/Ethnicity,"Multiracial, non-Hispanic",,,RACE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,46.2,Race/Ethnicity,Hispanic,,,RACE
2020,2020,DE,Delaware,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,41.5,Race/Ethnicity,Hispanic,,,RACE
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,RACE
2020,2020,CT,Connecticut,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,12.3,Age,Age 18-44,,,AGE
2020,2020,GA,Georgia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"Asian, non-Hispanic",,,RACE
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,50.7,Overall,Overall,,,OVERALL
2020,2020,DC,District of Columbia,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Crude Prevalence,18.5,Race/Ethnicity,"White, non-Hispanic",,,RACE
2020,2020,CO,Colorado,BRFSS,Cardiovascular Disease,High blood pressure among adults,,%,Age-adjusted Prevalence,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,RACE
